sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
INFRASTRUCTURE - GENERAL,169.15,13.42,ADANIPORTS,268.30,,268.70,331.00,18.14,63.84,23.62
HOTELS,42.45,-,ADVANIHOTR,54.95,,54.55,67.85,-,,48.66
TRANSPORT & LOGISTICS,,12.37,AGARIND,239.90,,,,22.53,88.84,30.37
PHARMACEUTICALS,896.00,-,ADVENZYMES,1788.20,,1792.30,,-,,-
RETAIL,122.90,-,ABFRL,142.50,,142.15,263.45,-,,85.35
ENGINEERING - HEAVY,32.05,-,ACE,44.65,,44.50,50.90,-,20.01,25.50
CONSTRUCTION & CONTRACTING - CIVIL,209.50,-,AHLUCONT,305.15,,309.85,337.80,-,62.88,26.47
FINANCE - INVESTMENTS,1256.65,33.15,8KMILES,2083.10,,2084.55,2550.00,46.12,179.14,18.27
CASTINGS & FORGINGS,236.70,9.13,ALICON,366.00,,363.70,394.10,19.96,116.71,20.47
STEEL - GP & GC SHEETS,107.10,11.37,AJMERA,146.05,,145.10,192.35,12.02,126.61,26.47
TEXTILES - READYMADE APPARELS,215.65,-,AIFL,354.00,,357.75,389.70,-,,36.43
EDIBLE OILS & SOLVENT EXTRACTION,22.65,-,ANIKINDS,29.85,,29.40,36.80,-,,16.77
RUBBER,10.00,,ANANDAMRUB,,,17.00,38.20,,,
FINANCE - INVESTMENTS,8.30,,ALMONDZ,12.63,,12.15,16.10,,,
CHEMICALS,279.00,-,ALKYLAMINE,312.65,,314.40,394.00,-,102.09,33.24
CEMENT - MAJOR,5.25,-,ANDHRACEMT,8.00,,7.95,11.00,-,,55.34
HOSPITALS & MEDICAL SERVICES,1213.00,-,APOLLOHOSP,1346.00,,1357.15,1544.90,-,248.24,57.68
CONSTRUCTION & CONTRACTING - HOUSING,18.00,-,ANSALHSG,24.00,,23.95,32.25,-,73.86,26.47
CONSTRUCTION & CONTRACTING - CIVIL,27.00,-,ARSSINFRA,83.55,,83.60,113.90,-,282.15,26.47
CONSTRUCTION & CONTRACTING - HOUSING,30.50,-,ARIHANT,45.00,,45.35,60.25,-,160.42,26.47
PAINTS & VARNISHES,784.25,53.18,ASIANPAINT,1184.90,,1192.55,1213.90,61.49,58.44,55.24
PLANTATIONS - TEA & COFFEE,2.90,-,ASSAMCO,5.73,,5.70,8.15,-,3.49,21.07
AUTO ANCILLARIES,31.40,-,ASAL,62.60,,62.40,71.25,-,,25.42
TELECOMMUNICATIONS - EQUIPMENT,101.55,-,ASTRAMICRO,114.90,,114.90,155.40,-,46.10,24.53
INFRASTRUCTURE - GENERAL,,-,ARVINFRA,80.45,,81.65,,-,,48.24
CONSTRUCTION & CONTRACTING - CIVIL,111.30,10.58,ASHOKA,173.90,,173.40,212.05,55.74,99.85,26.47
EDIBLE OILS & SOLVENT EXTRACTION,444.40,-,ATFL,508.10,,509.30,657.00,-,138.38,16.77
MISCELLANEOUS,161.90,-,ATLASCYCLE,299.75,,302.40,,-,277.04,15.24
MEDIA & ENTERTAINMENT,2.35,6.58,BAGFILMS,4.80,,4.80,7.30,-,5.53,41.34
CONSTRUCTION & CONTRACTING - CIVIL,25.40,-,ATLANTA,75.15,,75.30,,-,83.98,48.24
COMPUTERS - SOFTWARE MEDIUM & SMALL,186.00,16.02,AXISCADES,219.05,,218.90,368.80,22.06,57.99,20.73
PHARMACEUTICALS,919.55,-,ASTRAZEN,931.55,,926.95,1350.00,-,,29.05
SUGAR,12.00,-,BAJAJHIND,16.70,,16.70,24.20,-,17.48,25.72
TEXTILES - PROCESSING,72.15,-,AYMSYNTEX,85.45,,85.45,163.15,-,,13.29
DOMESTIC APPLIANCES,155.00,-,BAJAJELEC,259.20,,259.10,282.00,-,74.29,49.94
FINANCE - INVESTMENTS,1551.25,25.61,BAJAJFINSV,3205.40,,3199.85,3424.80,26.38,854.15,30.29
FINANCE - INVESTMENTS,1310.00,9.88,BAJAJHLDNG,1974.25,,1991.70,,9.91,1374.14,30.29
PERSONAL CARE,356.05,-,BAJAJCORP,399.90,,394.20,473.10,-,32.60,52.07
FINANCE - LEASING & HIRE PURCHASE,491.30,-,BAJFINANCE,1084.15,,1083.75,1183.90,-,135.97,30.29
MEDIA & ENTERTAINMENT,83.30,66.02,BALAJITELE,93.75,,94.60,149.90,520.83,68.97,41.34
TYRES,549.05,-,BALKRISIND,1094.45,,1096.65,,-,288.43,11.67
MISCELLANEOUS,26.80,-,BALKRISHNA,75.00,,75.30,89.00,-,,16.87
