sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
INFRASTRUCTURE - GENERAL,169.15,12.85,ADANIPORTS,256.95,,256.80,331.00,17.37,63.84,23.96
ENGINEERING - HEAVY,32.05,-,ACE,43.00,,42.60,50.90,-,20.01,25.82
PHARMACEUTICALS,896.00,-,ADVENZYMES,1666.20,,1662.60,,-,,-
FINANCE - INVESTMENTS,1256.65,30.31,8KMILES,1904.50,,1903.30,2550.00,42.16,179.14,18.34
CONSTRUCTION & CONTRACTING - CIVIL,209.50,-,AHLUCONT,296.00,,298.10,337.80,-,62.88,26.62
TEXTILES - READYMADE APPARELS,215.65,-,AIFL,350.85,,350.90,389.70,-,,36.52
CHEMICALS,279.00,-,ALKYLAMINE,315.95,,314.00,394.00,-,102.09,32.86
CASTINGS & FORGINGS,236.70,8.26,ALICON,331.00,,331.15,394.10,18.05,116.71,19.96
RETAIL,122.90,-,ABFRL,137.30,,138.05,263.45,-,,87.12
POWER - GENERATION & DISTRIBUTION,17.55,-,AMTL,27.75,,27.55,37.20,-,85.55,51.12
TRANSPORT & LOGISTICS,,11.60,AGARIND,224.90,,,,21.12,88.84,29.93
RUBBER,10.00,-,ANANDAMRUB,,,17.05,38.20,-,,-
HOTELS,42.45,-,ADVANIHOTR,52.10,,53.95,67.85,-,,48.76
STEEL - GP & GC SHEETS,90.00,10.66,AJMERA,136.90,,135.35,192.35,11.27,126.61,26.62
EDIBLE OILS & SOLVENT EXTRACTION,22.65,-,ANIKINDS,26.70,,27.00,36.80,-,,16.91
HOSPITALS & MEDICAL SERVICES,1213.00,-,APOLLOHOSP,1340.00,,1336.00,1544.90,-,248.24,58.56
FINANCE - INVESTMENTS,8.30,4.87,ALMONDZ,11.50,,11.45,16.10,7.10,48.35,29.92
CEMENT - MAJOR,4.85,-,ANDHRACEMT,7.70,,7.60,11.00,-,,54.64
TEXTILES - DENIM,235.00,13.62,ARVIND,334.15,,333.80,365.70,22.84,102.41,24.41
CONSTRUCTION & CONTRACTING - CIVIL,27.00,-,ARSSINFRA,81.35,,81.60,113.90,-,282.15,26.62
CONSTRUCTION & CONTRACTING - HOUSING,18.00,-,ANSALHSG,22.50,,22.60,32.25,-,73.86,26.62
CONSTRUCTION & CONTRACTING - CIVIL,111.30,10.13,ASHOKA,166.55,,168.10,212.05,53.38,99.85,26.62
AUTO ANCILLARIES,31.40,-,ASAL,61.20,,59.80,71.25,-,,25.03
INFRASTRUCTURE - GENERAL,,,ARVINFRA,78.15,,83.35,,,,
